"","team","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"289","Total",1550,"","Erica Amoroso",76,116,48,19,13,4,6.095,0.328,2.408,5.395
"290","Total",1555,"","Kara Amos",276,295,110,21,192,19,3.252,0.254,1.543,3.329
"291","Total",1557,"","Larie Amos",1,1,2,0,0,0,7,0.2,3,8.4
"292","Total",1565,"","Natalie Ampole",41,74,26,6,15,4,8.005,0.365,2.585,5.271
"293","Total",1570,"","Gianna Amundsen",16,11,9,3,10,0,2.188,0.169,1.438,3.4
"294","Total",1580,"","Kylee Ancheta-maeda",12.2,20,7,1,11,1,2.24,0.323,2.211,3.6
"295","Total",1585,"","Nadia Andarowski",10.2,10,7,7,8,3,6.604,0.233,2.25,8.532
"296","Total",1592,"","Camden Anders",5.2,12,6,1,4,2,12.5,0.353,3.353,9.364
"297","Total",1596,"","Kaitlyn Anders",33.2,67,21,4,16,8,9.004,0.356,2.733,6.793
"298","Total",1601,"","Abby Andersen",86.1,123,49,10,28,14,4.294,0.315,2.108,5.907
"299","Total",1602,"","Cam Andersen",233.1,215,146,10,196,21,3.845,0.219,1.59,3.898
"300","Total",1611,"","Aaliyah Anderson",4,5,3,0,4,1,8.75,0.278,2,5.9
"301","Total",1618,"","Alexandra Anderson",65,105,19,7,17,6,6.588,0.339,2.015,4.28
"302","Total",1626,"","Amidori Anderson",29.2,33,25,4,22,1,3.576,0.26,2.09,4.306
"303","Total",1627,"","Amy Anderson",23,37,10,2,18,2,7.304,0.346,2.13,3.53
"304","Total",1631,"","Anneca Anderson",168,128,122,21,130,15,3.954,0.2,1.613,4.564
"305","Total",1639,"","Autumn Anderson",45.2,52,41,8,32,4,4.474,0.251,2.212,5.377
"306","Total",1644,"","Brianna Anderson",118.1,107,36,7,98,6,2.843,0.222,1.268,2.493
"307","Total",1648,"","Carly Anderson",2,1,3,0,0,0,3.5,0.125,2,6.9
"308","Total",1650,"","Casey Anderson",131.2,159,32,3,52,4,2.821,0.282,1.473,2.803
"309","Total",1664,"","Emily Anderson",417,443,167,41,316,38,3.193,0.255,1.561,3.566
"310","Total",1665,"","Emma Anderson",13.1,12,8,1,3,1,2.217,0.238,1.575,5.075
"311","Total",1668,"","Fayth Anderson",17,26,9,0,12,1,6.14,0.321,2.059,3.336
"312","Total",1670,"","Grace Anderson",279.2,248,104,18,238,20,2.831,0.222,1.323,2.937
"313","Total",1674,"","Hannah Anderson",222,349,92,24,94,28,5.406,0.328,2.095,4.765
"314","Total",1679,"","Jamie Anderson",156.2,251,91,3,56,16,6.229,0.331,2.202,4.82
"315","Total",1685,"","Jordan Anderson",380.1,308,161,26,342,25,2.284,0.206,1.301,2.932
"316","Total",1696,"","Kaylee Anderson",74.1,88,35,9,50,5,4.145,0.273,1.776,3.706
"317","Total",1698,"","Kelsi Anderson",374.2,369,210,49,434,14,3.083,0.237,1.676,2.643
"318","Total",1700,"","Kendyl Anderson",9.1,17,11,2,5,1,10.538,0.362,3.214,6.916
"319","Total",1705,"","Kristen Anderson",1,1,3,0,0,0,14,0.25,4,11.4
"320","Total",1709,"","Laura Anderson",375.1,407,95,36,210,6,2.853,0.261,1.433,2.536
"321","Total",1710,"","Lauren Anderson",188.1,309,101,16,43,36,6.477,0.342,2.262,6.298
"322","Total",1711,"","Lexi Anderson",13.2,23,25,3,8,1,10.37,0.345,3.732,8.387
"323","Total",1719,"","Maddy Anderson",223,257,78,19,211,18,3.896,0.256,1.587,2.863
"324","Total",1720,"","Madie Anderson",11,5,0,1,5,1,0.636,0.135,0.545,2.945
"325","Total",1721,"","Madison Anderson",60,77,39,2,32,7,4.659,0.285,1.967,4.896
"326","Total",1722,"","Maiya Anderson",4,11,4,2,2,2,17.073,0.458,4.25,12.156
"327","Total",1723,"","Maizie Anderson",88,87,58,7,75,3,3.269,0.244,1.727,3.357
"328","Total",1724,"","Marissa Anderson",10.1,27,9,1,2,0,8.235,0.403,3.581,4.949
"329","Total",1726,"","McKayla Anderson",36.2,63,19,1,9,4,5.164,0.36,2.264,4.968
"330","Total",1728,"","Mckenzie Anderson",23,39,6,2,13,1,4.585,0.333,2.043,2.88
"331","Total",1731,"","Megan Anderson",375.2,566,164,17,188,49,5.469,0.32,1.988,4.546
"332","Total",1732,"","Meghan Anderson",397.1,412,146,36,512,44,3.313,0.244,1.495,2.637
"333","Total",1733,"","Melissa Anderson",197,239,34,2,57,10,3.45,0.278,1.396,3.03
"334","Total",1746,"","Rachel Anderson",0.1,1,0,2,0,0,70,0.333,9,32.4
"335","Total",1751,"","Ruby Anderson",22.2,32,28,2,13,0,6.222,0.311,2.735,5.244
"336","Total",1756,"","Sam Anderson",487.2,479,135,22,456,27,2.615,0.24,1.304,2.215
"337","Total",1761,"","Scarlet Anderson",144,206,101,19,61,13,6.868,0.304,2.264,5.233
"338","Total",1765,"","Sierra Anderson",250.1,471,104,19,109,51,8.263,0.367,2.373,5.657
"339","Total",1770,"","Susannah Anderson",683.1,681,319,157,467,44,3.251,0.241,1.693,3.962
"340","Total",1778,"","Kierstin Anderson-glass",371.1,278,52,8,308,8,1.224,0.195,0.91,1.505
"341","Total",1799,"","Mary Andreano",4,17,2,0,1,0,13.717,3.156,4.75,3.392
"342","Total",1802,"","Madison Andrejcik",18,35,12,3,2,1,9.333,0.402,2.778,5.4
"343","Total",1805,"","Stephanie Andreoli",76.2,86,45,7,33,1,4.989,0.26,1.8,3.753
"344","Total",1812,"","Taylor Andres",318.1,396,105,7,151,14,3.762,0.285,1.596,3.079
"345","Total",1834,"","Cameron Andrews",1,4,0,0,1,1,14,0.571,4,13.4
"346","Total",1841,"","Hailey Andrews",249.1,226,84,20,261,22,2.444,0.229,1.324,2.705
"347","Total",1842,"","Hannah Andrews",11.2,18,11,3,4,2,9.739,0.321,2.743,7.617
"348","Total",1846,"","Kayla Andrews",20.2,32,24,1,2,1,5.057,0.337,2.758,6.445
"349","Total",1853,"","Madie Andrews",83,107,36,3,47,8,5.151,0.289,1.759,3.932
"350","Total",1858,"","Paige Andrews",81.1,115,46,0,32,6,5.676,0.307,1.98,4.267
"351","Total",1864,"","Sydney Andrews",70.2,98,16,2,41,10,4.753,0.312,1.642,3.844
"352","Total",1871,"","Ilona Andringa",372,276,81,43,386,18,1.412,0.193,1.075,1.954
"353","Total",1874,"","Lexi Androlevich",87.2,121,53,6,64,13,4.655,0.286,2.053,4.899
"354","Total",1877,"","Miki Andrus",10,14,10,2,5,0,4.949,0.28,2.6,5.026
"355","Total",1878,"","Christa Andrusiewicz",200,253,48,23,70,4,2.947,0.291,1.62,3.027
"356","Total",1881,"","Ajalyn Anduha",2,9,3,0,0,0,20,0.529,6,6.686
"357","Total",1888,"","Dalaney Anfinson",1,5,2,0,0,1,35,0.625,7,21.4
"358","Total",1902,"","Haelee Angelico",220.2,209,64,16,155,10,2.316,0.229,1.31,2.672
"359","Total",1911,"","Nicole Angelo",0.1,1,1,0,1,0,35,0.333,6,7.4
"360","Total",1913,"","Victoria Angelo",18.1,35,11,4,6,1,9.563,0.389,2.727,4.914
"361","Total",1915,"","Lexi Angemi",58.2,109,23,2,19,5,5.865,0.358,2.284,4.145
"362","Total",1916,"","Lizzy Angemi",160,283,92,33,74,8,7.309,0.354,2.55,4.482
"363","Total",1933,"","Carly Angstadt",4,1,3,1,5,1,3.5,0.071,1.25,6.15
"364","Total",1936,"","Sabrina Anguiano",138,156,29,12,77,13,3.548,0.267,1.428,3.399
"365","Total",1941,"","Kendall Angulo",5.1,13,4,2,2,2,17.17,0.419,3.562,9.947
"366","Total",1945,"","Madison Angus",141.1,191,44,6,44,8,3.916,0.294,1.705,3.575
"367","Total",1946,"","Brenna Angwin",25,51,18,2,7,0,5.38,0.385,2.84,4.264
"368","Total",1948,"","Wren Anhalt",22.1,43,8,1,10,4,8.803,0.377,2.328,5.036
"369","Total",1950,"","Abby Aniska",95,204,19,10,38,5,6.796,0.407,2.453,3.203
"370","Total",1963,"","Julia Annecchiarico",79.2,128,38,3,41,2,5.015,0.336,2.121,3.241
"371","Total",1964,"","Jessica Annello",5.1,5,4,1,6,0,5.283,0.192,1.875,2.966
"372","Total",1966,"","Lizzie Annerino",71.1,90,49,6,23,5,4.671,0.277,2.033,5.022
"373","Total",1974,"","Bekah Ansbro",465.2,459,146,31,402,41,3.01,0.236,1.366,2.959
"374","Total",1981,"","Alexys Antal",82,101,47,3,44,18,4.887,0.285,1.841,6.026
"375","Total",1989,"","Grace Anthony",0.1,0,0,0,1,0,0,0,0,-7.6
"376","Total",1993,"","Kylie Anthony",15,32,8,9,3,0,9.467,0.385,3.267,5.513
"377","Total",2012,"","Ashley Antonazzo",259.1,384,95,10,139,25,5.294,0.318,1.886,3.796
"378","Total",2020,"","Alese Antonello",280,336,132,8,139,22,3.329,0.274,1.7,3.93
"379","Total",2028,"","Nicole Antonowicz",5.1,8,4,0,6,0,0,0.278,2.25,2.444
"380","Total",2035,"","Emily Antrim",128.2,156,25,8,61,5,3.377,0.289,1.469,2.727
"381","Total",2036,"","Nikki Antuna",61.2,73,15,0,17,6,4.205,0.282,1.427,3.845
"382","Total",2045,"","Gianna Anzideo",32,57,18,5,9,1,4.417,0.305,2.5,4.419
"383","Total",2048,"","Celeste Apaez",7.2,18,4,0,1,1,7.505,0.414,2.87,5.517
"384","Total",2054,"","Natalia Apatiga",3,4,3,1,7,0,2.258,0.25,2.667,1.755
"385","Total",2058,"","Sadie-rose Apfel",51.2,75,13,7,19,5,5.001,0.305,1.839,4.079
"386","Total",2080,"","Amiyah Aponte",187.2,189,86,40,86,17,3.734,0.239,1.679,4.678
"387","Total",2085,"","Selena Aponte",262.2,312,96,17,132,11,3.731,0.277,1.618,3.229
"388","Total",2088,"","Julia Apostolakos",29.2,31,22,3,11,4,4.983,0.238,1.888,5.959
"389","Total",2099,"","Cassie Apple",37.2,52,26,8,26,5,5.027,0.306,2.283,5.459
"390","Total",2102,"","Taylor Apple",237.1,187,116,31,190,20,2.949,0.206,1.407,3.752
"391","Total",2103,"","Noa Applebaum",2,1,4,0,0,1,3.5,0.5,2.5,14.9
"392","Total",2104,"","Madison Applebe",1,3,1,1,1,1,21,0.5,5,19.4
"393","Total",2109,"","Presley Applegate",69.1,91,28,2,52,4,3.525,0.294,1.745,2.946
"394","Total",2110,"","Jesse Applehans",100.1,92,43,6,74,5,3.141,0.234,1.405,3.038
"395","Total",2114,"","Alexis Appleyard",0.1,1,1,1,0,0,0,0.25,9,32.4
"396","Total",2119,"","Julia Apsel",451,454,123,54,355,36,2.61,0.243,1.399,3.042
"397","Total",2124,"","BB Aquila",17.1,25,7,1,15,0,3.663,0.329,1.904,2.051
"398","Total",2124,"","Bb Aquila",41.2,65,20,0,15,5,5.871,0.33,2.04,4.773
"399","Total",2126,"","Edyliese Aquino",65.1,127,60,2,29,3,9.208,0.373,2.893,4.955
"400","Total",2127,"","Mia Aquino",19.1,36,11,2,10,0,4.33,0.367,2.534,3.379
"401","Total",2136,"","Faith Aragon",209,235,63,22,138,22,3.855,0.27,1.531,3.669
"402","Total",2147,"","Liliana Arana",41.1,40,34,3,26,4,3.043,0.24,1.863,5.081
"403","Total",2158,"","Madee Arbaugh",12,28,3,0,4,1,9.492,0.4,2.583,3.586
"404","Total",2163,"","Morgan Arbogast",439.1,398,161,26,362,13,2.391,0.229,1.332,2.414
"405","Total",2167,"","Amber Arcand",113.1,126,30,6,69,10,3.398,0.256,1.429,3.284
"406","Total",2171,"","Jordan Arce",137.2,114,112,10,111,5,3.963,0.211,1.714,3.917
"407","Total",2174,"","Aubrynn Arcement",119,107,18,5,59,0,1.885,0.22,1.092,1.988
"408","Total",2179,"","Nicole Arcese",178.1,293,37,4,86,8,4.913,0.341,1.873,2.709
"409","Total",2180,"","Samantha Arcese",12.1,24,28,1,8,0,15.492,0.393,4.297,8.22
"410","Total",2186,"","Haylei Archer",416.1,433,243,64,295,30,3.618,0.249,1.777,4.133
"411","Total",2210,"","Alyssa Arden",528,492,270,66,399,59,3.634,0.232,1.568,4.251
"412","Total",2219,"","Ashley Arellano",2,3,0,1,1,0,3.5,0.333,2,2.9
"413","Total",2221,"","Carla Arellano",176,219,59,18,84,22,4.29,0.283,1.682,4.38
"414","Total",2235,"","Halle Arends",347.2,336,156,24,305,12,2.415,0.235,1.484,2.647
"415","Total",2239,"","Sydney Arendt",234,329,72,15,111,20,4.137,0.301,1.778,3.68
"416","Total",2242,"","Skylar Arent",110,136,28,15,70,5,3.757,0.284,1.627,2.891
"417","Total",2249,"","Alyssa Argomaniz",264,283,143,11,145,15,3.327,0.251,1.655,3.796
"418","Total",2259,"","Arianna Arias",129,176,57,18,66,3,5.282,0.3,1.946,3.427
"419","Total",2270,"","Miranda Arison",71,84,44,20,61,1,5.316,0.266,2.085,3.567
"420","Total",2276,"","Machaila Arjavich",35,62,10,1,26,6,5.828,0.364,2.086,4.087
"421","Total",2285,"","Theresa Armano",89.1,151,38,10,38,7,6.453,0.345,2.228,4.189
"422","Total",2289,"","Mikayla Armatoski",7.1,14,4,0,2,0,8.63,0.368,2.455,3.496
"423","Total",2293,"","Mckayla Armbruster",389.1,363,60,16,378,19,2.015,0.232,1.128,1.678
"424","Total",2299,"","Genesis Armendariz",415.2,394,198,26,317,20,2.796,0.234,1.487,3.118
"425","Total",2302,"","Payge Armendariz",107.2,182,60,6,84,9,5.971,0.339,2.303,3.761
"426","Total",2305,"","Maddie Armfield",66,91,16,13,25,5,3.918,0.294,1.818,3.943
"427","Total",2309,"","Autumn Armijo",15.1,34,11,0,9,0,9.211,0.386,2.935,3.387
"428","Total",2317,"","Taylor Armitage",529,702,170,43,265,45,4.144,0.298,1.73,3.713
"429","Total",2325,"","Aly Armstrong",536,442,235,26,538,17,2.181,0.214,1.312,2.266
"430","Total",2329,"","Cassia Armstrong",14.1,22,7,3,6,5,8.992,0.292,2.233,8.316
"431","Total",2331,"","Chloe Armstrong",2,1,1,0,5,0,0,0.143,1,-1.1
"432","Total",2336,"","Katie Armstrong",63.1,47,35,5,85,9,2.88,0.191,1.374,3.459
"433","Total",2340,"","Maggie Armstrong",26.1,64,9,4,4,6,7.985,0.405,2.924,6.544
"434","Total",2344,"","Micaiah Armstrong",13.1,20,9,0,7,0,4.211,0.308,2.175,3.377
"435","Total",2346,"","Sadie Armstrong",2.1,6,2,0,3,0,9.13,0.429,3.429,2.4
"436","Total",2349,"","Tehya Armstrong",27,33,15,2,18,1,4.424,0.275,1.852,3.441
"437","Total",2360,"","Jacky Arndt",121.2,121,93,8,131,7,3.628,0.238,1.825,3.485
"438","Total",2363,"","Kylan Arndt",10.1,26,7,0,6,2,7.476,0.456,3.194,5.798
"439","Total",2380,"","Mattison Arnett",33.1,64,16,3,14,3,7.169,0.376,2.49,4.448
"440","Total",2391,"","Ashley Arnold",6,17,2,0,1,4,15.166,0.49,3.167,11.734
"441","Total",2397,"","Caylan Arnold",646.2,479,209,48,673,54,2.013,0.193,1.138,2.596
"442","Total",2399,"","Emily Arnold",6.1,9,3,0,3,2,4.444,0.3,1.895,7.003
"443","Total",2401,"","Hayley Arnold",66,74,21,7,35,13,5.213,0.266,1.545,5.181
"444","Total",2403,"","Kabria Arnold",35.1,67,15,2,4,2,4.972,0.383,2.377,4.36
"445","Total",2409,"","Madison Arnold",30,57,16,5,9,1,4.666,0.347,2.6,4.339
"446","Total",2411,"","Morgan Arnold",24,49,7,4,3,0,5.866,0.38,2.5,3.535
"447","Total",2413,"","Nyesha Arnold",14.1,18,3,0,11,0,3.944,0.261,1.465,1.485
"448","Total",2419,"","Haley Arnold-jolley",324.2,590,105,17,70,26,5.636,0.359,2.193,4.14
"449","Total",2420,"","Ariana Arnone",31,85,42,7,12,4,16.445,0.437,4.323,8.018
"450","Total",2422,"","Whitley Arnott",240,271,114,49,172,41,4.554,0.269,1.808,5.226
"451","Total",2427,"","Clare Aroune",2,5,3,0,1,1,16.667,0.417,4,11.924
"452","Total",2430,"","Casey Arpin",49.2,62,15,1,22,5,2.828,0.276,1.57,3.794
"453","Total",2432,"","Katie Arrambide",179.1,192,61,17,116,19,3.432,0.252,1.506,3.787
"454","Total",2438,"","Anissa Arredondo",147.2,244,72,19,72,32,6.881,0.335,2.269,6.096
"455","Total",2440,"","Emily Arredondo",323,440,98,14,143,14,3.839,0.299,1.709,3.119
"456","Total",2446,"","Savannah Arreguin",66,81,34,11,18,0,3.601,0.282,1.909,3.898
"457","Total",2455,"","Nicole Arreola",84.2,109,35,9,51,11,4.215,0.288,1.807,4.442
"458","Total",2464,"","Abbey Arrington",24.1,34,8,4,13,3,5.451,0.309,1.89,4.408
"459","Total",2466,"","Hailey Arrington",12,29,2,4,7,0,8.235,0.408,2.917,2.736
"460","Total",2473,"","Konnor Arrowood",93.1,110,68,8,50,8,5.269,0.268,1.993,4.895
"461","Total",2475,"","Arianna Arroyo",68,98,59,6,50,9,7.434,0.314,2.397,5.527
"462","Total",2479,"","Mackenzie Arroyo",11,31,10,4,6,3,11.982,0.413,4.091,8.616
"463","Total",2481,"","Meesha Arroyo",184.1,298,68,11,95,15,5.588,0.334,2.045,3.715
"464","Total",2485,"","Hannah Arruda",40.1,68,16,3,15,2,4.685,0.322,2.157,3.717
"465","Total",2486,"","Megan Arruda",3.1,8,4,3,4,1,17.5,0.4,4.5,10.525
"466","Total",2501,"","Andrea Artesani",141.1,190,69,2,76,9,4.369,0.301,1.847,3.663
"467","Total",2503,"","Jalena Arthur",34.1,71,15,7,10,6,9.718,0.36,2.709,6.058
"468","Total",2508,"","Sarah-anne Arthur",11.2,12,4,2,9,0,3.043,0.245,1.543,2.4
"469","Total",2514,"","Cambria Arturo",236,233,75,21,120,11,2.967,0.243,1.394,3.21
"470","Total",2518,"","Liv Arvidson",10.1,22,10,2,6,1,10.367,0.396,3.29,5.998
"471","Total",2519,"","Avellaka Arviso",43,103,10,2,9,5,9.159,0.419,2.674,4.339
"472","Total",2521,"","Avery Arwood",78.2,86,38,2,46,6,3.389,0.27,1.602,3.75
"473","Total",2522,"","Brinn Arwood",10,13,6,0,3,0,2.8,0.295,1.9,3.6
"474","Total",2523,"","Shaye Arwood",54,64,12,4,15,5,3.51,0.27,1.481,3.938
"475","Total",2543,"","Victoria Ash",110.1,135,37,4,50,9,4.504,0.283,1.595,3.668
"476","Total",2546,"","Jewel Ashbrook",254.2,286,78,14,149,11,2.94,0.263,1.484,2.873
"477","Total",2559,"","Megan Asher",145.1,155,60,13,135,17,3.916,0.245,1.569,3.572
"478","Total",2571,"","Sierra Ashley",121,242,80,21,47,5,9.317,0.372,2.835,4.664
"479","Total",2586,"","Taylor Asimakopoulos",58.1,58,32,4,43,4,3.829,0.232,1.611,3.665
"480","Total",2593,"","Taylor Askland",7.2,12,2,2,3,1,6.575,0.303,2.087,4.942
"481","Total",2595,"","Brianna Asmondy",27,26,13,0,18,1,2.351,0.243,1.444,2.997
"482","Total",2600,"","Jade Assad",38.2,53,22,2,14,1,4.542,0.285,1.991,3.891
"483","Total",2601,"","Riley Assalone",199,284,65,5,62,7,3.842,0.317,1.779,3.291
"484","Total",2613,"","Xochitl Atayde",3,4,2,0,2,0,0,0.308,2,3.067
"485","Total",2616,"","Kaylee Atchley",12,19,1,2,4,0,4.667,0.345,1.833,2.483
"486","Total",2620,"","Lexi Atcitty",30.1,38,15,0,19,5,4.62,0.273,1.747,4.776
"487","Total",2626,"","Ali Atherton",44,59,13,5,15,2,2.561,0.287,1.75,3.543
"488","Total",2639,"","Abby Atkin",435.1,522,239,62,279,37,4.426,0.276,1.891,4.299
"489","Total",2646,"","Karah Atkins",4,13,7,0,0,1,21,0.52,5,10.9
"490","Total",2648,"","Kaylee Atkins",73.1,123,69,5,37,6,6.99,0.341,2.686,5.492
"491","Total",2649,"","Kylie Atkins",7.2,13,4,0,1,0,6.533,0.325,2.217,3.733
"492","Total",2651,"","Maddison Atkins",148.2,187,93,31,121,5,4.95,0.283,2.092,3.713
"493","Total",2662,"","Tayler Atkinson",135.1,133,41,11,68,10,2.792,0.238,1.367,3.508
"494","Total",2665,"","Courtney Atkisson",181,207,63,16,54,10,2.829,0.268,1.58,3.834
"495","Total",2681,"","Hannah Atwell",89,137,23,9,30,5,4.952,0.315,1.899,3.536
"496","Total",2690,"","Cora Aubert",224.1,398,105,9,92,6,6.279,0.357,2.282,3.454
"497","Total",2695,"","Elizabeth Auciello",33,48,4,4,18,0,3.617,0.314,1.697,2.035
"498","Total",2699,"","Amanda Audia",2.2,12,2,1,1,0,9.701,0.479,5.625,4.574
"499","Total",2703,"","Madie Aughinbaugh",645.2,690,124,25,468,53,2.669,0.253,1.299,2.71
"500","Total",2704,"","Erika Aughton",107.2,142,17,5,56,2,3.126,0.301,1.523,2.214
"501","Total",2705,"","Gabriella Aughton",20.2,28,22,3,12,7,8.108,0.292,2.565,9.252
"502","Total",2708,"","Emily August",295.2,208,83,13,301,12,1.4,0.184,1.028,1.868
"503","Total",2711,"","Makalya August",290,385,113,42,220,16,4.253,0.292,1.862,3.206
"504","Total",2712,"","Nicole August",52.1,67,62,2,26,5,5.077,0.267,2.503,6.313
"505","Total",2714,"","Cadence Augustine",23.2,65,12,1,15,6,14.022,0.44,3.296,6.082
"506","Total",2716,"","Madie Augusto",169.2,265,73,24,92,21,5.777,0.33,2.134,4.64
"507","Total",2720,"","Emily Aul",2.1,5,2,0,1,0,10.909,0.347,3,4.045
"508","Total",2725,"","Tamara Aunchman",23,27,11,1,15,1,3.652,0.27,1.696,3.226
"509","Total",2728,"","Rhiannon Aurand",185.1,205,45,16,109,4,3.136,0.255,1.435,2.492
"510","Total",2730,"","Madison Aurin",214.1,242,65,13,67,14,3.009,0.269,1.493,3.718
"511","Total",2733,"","Hannah Ausenhus",316.2,343,101,15,175,22,3.385,0.255,1.449,3.298
"512","Total",2740,"","Jenna Austin",3.1,3,2,0,2,1,3.5,0.033,1.5,6.23
"513","Total",2742,"","Katelyn Austin",43.2,49,20,4,29,2,3.364,0.263,1.672,3.315
"514","Total",2743,"","Katie Austin",176,298,70,25,78,15,6.527,0.341,2.233,4.242
"515","Total",2745,"","Madison Austin",9.1,24,9,1,4,3,11.145,0.414,3.643,8.937
"516","Total",2748,"","Paige Austin",574.1,366,199,96,654,13,1.365,0.173,1.151,1.958
"517","Total",2752,"","Rylan Austin",5,14,0,0,4,1,8.235,0.452,2.8,3.38
"518","Total",2762,"","Savannah Autobee",76,90,18,8,52,0,4.047,0.277,1.526,2.058
"519","Total",2776,"","Alina Avalos",24.1,33,19,3,19,0,6.311,0.297,2.26,3.548
"520","Total",2782,"","Lauren Avalos",55.1,65,28,4,4,2,4.468,0.278,1.753,4.498
"521","Total",2787,"","Mary wilson Avant",565.1,464,250,56,567,54,2.527,0.206,1.362,3.26
"522","Total",2789,"","Sadi Avants",119.2,101,49,15,92,2,1.699,0.21,1.379,2.685
"523","Total",2792,"","Aileen Avelar",7.1,18,3,1,2,0,12.639,0.45,3,3.511
"524","Total",2793,"","Victoria Avella",38.2,67,10,1,16,4,5.999,0.357,2.017,3.779
"525","Total",2794,"","Ashlyn Aven",3,6,1,1,1,1,9.333,0.375,2.667,8.067
"526","Total",2803,"","Lizzy Avery",299,248,117,14,316,17,2.131,0.21,1.268,2.34
"527","Total",2814,"","Aubrey Avila",26.1,48,19,4,8,5,6.654,0.361,2.696,6.887
"528","Total",2827,"","Ava Aviles",35.2,50,20,0,17,0,5.506,0.305,1.963,3.13
"529","Total",2846,"","Margaret Axelson",359,314,90,13,265,10,1.815,0.221,1.162,2.146
"530","Total",2849,"","Laura Axson",5,1,2,1,4,0,0,0.062,0.8,2.6
"531","Total",2856,"","Emily Ayala",91.1,102,33,8,46,9,2.92,0.269,1.566,4.024
"532","Total",2857,"","Holly Ayala",247.2,363,70,14,73,18,4.721,0.32,1.805,3.773
"533","Total",2865,"","Molly Ayala",155.2,343,110,17,98,15,11.291,0.388,3.019,4.842
"534","Total",2867,"","Nicole Ayala",73.2,101,54,7,29,8,5.324,0.299,2.199,5.51
"535","Total",2873,"","Kyra Aycock",179.1,184,84,8,123,15,3.16,0.254,1.539,3.654
"536","Total",2874,"","Morgan Aycock",158.2,175,64,16,86,8,3.352,0.263,1.607,3.484
"537","Total",2887,"","Hannah Ayers",1,1,3,1,1,0,14,0.25,5,12.4
"538","Total",2888,"","Jacy Ayers",18.1,20,8,0,10,1,4.185,0.256,1.527,3.324
"539","Total",2890,"","Kacey Ayers",182.1,150,49,13,144,8,1.843,0.214,1.163,2.411
"540","Total",2921,"","Holly Azevedo",415,328,122,31,390,35,1.906,0.202,1.159,2.723
"541","Total",2922,"","Kiara Azevedo",78,110,33,25,44,10,5.915,0.314,2.154,5.166
"542","Total",2924,"","Jillian Aziz",21.1,28,7,3,5,0,2.958,0.28,1.781,3.339
"543","Total",2925,"","Alex Azua",55.1,80,37,2,30,12,6.327,0.304,2.151,6.249
"544","Total",2926,"","Maddy Azua",188,162,43,13,200,22,2.271,0.214,1.16,2.687
"545","Total",2940,"","Grace Baalman",392.1,380,188,38,283,51,3.036,0.24,1.545,4.378
"546","Total",2941,"","Maddie Baalman",351,346,205,55,266,25,3.667,0.242,1.726,4.032
"547","Total",2942,"","Sydney Baalman",484.1,491,189,33,339,39,3.327,0.243,1.472,3.423
"548","Total",2944,"","Kristina Baar",55.1,77,76,10,49,6,7.61,0.293,2.946,6.703
"549","Total",2946,"","Tena Baar",60,77,23,2,38,0,2.333,0.29,1.7,2.383
"550","Total",2948,"","Kiara Baba",34,41,23,8,24,2,6.213,0.282,2.118,4.502
"551","Total",2968,"","Taylor Babcock",50,98,28,4,12,7,7.823,0.37,2.6,5.653
"552","Total",2977,"","Sydney Babik",277.1,318,139,28,155,21,4.452,0.267,1.749,4.076
"553","Total",2982,"","Alli Babino",1.1,6,2,0,2,0,10,0.429,6,3.829
"554","Total",2983,"","Allyson Babinsack",457.1,528,115,27,235,20,2.986,0.271,1.465,2.873
"555","Total",2987,"","Olivia Babusci",47.1,81,11,1,14,0,4.322,0.336,1.965,2.571
"556","Total",2999,"","Lauren Baccari",18,19,4,2,13,1,4.641,0.253,1.389,2.676
"557","Total",3009,"","Hannah Bach",1,2,3,0,0,0,28,0.4,5,11.4
"558","Total",3010,"","Lexi Bach",28.2,34,11,0,17,4,3.439,0.262,1.57,4.189
"559","Total",3013,"","Alexandra Bacher",1.1,3,1,0,1,2,11.667,0.375,3,24.9
"560","Total",3020,"","Paige Bachman",196.2,191,89,16,155,11,2.676,0.229,1.505,3.158
"561","Total",3023,"","Taylor Bachmeyer",51.1,59,77,12,32,5,8.702,0.253,2.883,7.609
"562","Total",3026,"","Josie Bachtell",1,4,0,0,1,0,0,0.5,4,0.582
"563","Total",3027,"","Faith Bachtold",0.1,2,2,0,0,2,105,0.5,12,162.4
"564","Total",3029,"","Courteney Back",179.2,387,92,17,56,29,9.201,0.4,2.761,5.696
"565","Total",3031,"","Katie Back",160,220,60,7,90,11,4.212,0.294,1.794,3.426
"566","Total",3035,"","Brieann Backes",351.2,416,156,31,211,18,3.466,0.277,1.715,3.461
"567","Total",3036,"","Lilli Backes",545,543,182,67,472,82,3.637,0.243,1.453,3.995
"568","Total",3037,"","Tara Backherms",123,173,33,9,54,12,4.393,0.308,1.748,3.818
"569","Total",3044,"","Sydney Backstrom",815.1,595,320,63,750,70,2.38,0.19,1.2,3.086
"570","Total",3057,"","Angelina Badalament",177.1,177,92,21,100,7,3.238,0.243,1.635,3.698
